nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance,store
alfamart kapten tendean 2,3.8,11,-6.240049200000001,106.818981,"jl. kapt. tendean no. 18 b, rt, kel, rt.1/rw.1, pela mampang, kota jakarta selatan",ChIJk9Chmd_zaS4R8JKnx_DYAd4,2805.465089388188,Alfamart
alfamart,4.2,120,-6.245465,106.8186523,"jl. bangka ii kel no.29l, rt.17/rw.2, pela mampang, kota jakarta selatan",ChIJE2FoiNjzaS4RkuhZJgb9Stg,2458.871593232248,Alfamart
alfa midi,4.5,174,-6.2468046,106.7948782,"qq3v+7xc, jl. barito ii, rt.8/rw.5, kramat pela, kota jakarta selatan",ChIJAS87L23xaS4RE2RaGQ6kKq4,1020.2215619705428,Alfamart
alfamart,4.4,17,-6.2284805,106.7855186,"jl. rawa simprug iii, rt.03, r no.kel, rt.3/rw.9, grogol sel., kota jakarta selatan",ChIJIYHBgDDxaS4RvycdmnfZeP4,2545.452964596561,Alfamart
alfamart,0.0,0,-6.2300567,106.8187181,"jl. gatot subroto kel no.kav.52, rt.6/rw.1, kuningan bar., kota jakarta selatan",ChIJDxW97RrzaS4RmZsx_ifU4x8,2506.14886214287,Alfamart
alfamart,3.0,1,-6.2303643,106.8218469,"jl. guru mughni kel no.12, rt.1, kuningan, kuningan tim., kota jakarta selatan",ChIJR3_-W0XzaS4Ra2KJ49HgobM,2756.216958149565,Alfamart
alfamart,4.8,5,-6.226305,106.8191669,"apartemen taman semanggi, jl. akri kel no.136, rt.8/rw.2, karet semanggi, kota jakarta selatan",ChIJZSNypFjzaS4RiqX0yBCekAw,2831.5158870565656,Alfamart
alfamart,3.8,13,-6.2510088,106.8216417,"jl. pondok jaya vi no.31 rt.00 kel, rt.6/rw.6, pela mampang, kota jakarta selatan",ChIJmdxMydLzaS4R3PTMkWwbsm8,2317.162501308977,Alfamart
alfamart guru mugni 2,3.8,25,-6.230415799999999,106.8213373,"jl. peltu rahmat sidup no.7 kuningan rt.1, rt.1, rt.1, kuningan, kuningan tim., kota jakarta selatan",ChIJ7z1SCOPzaS4RUqc62WYc7_E,2707.3109072714897,Alfamart
alfamart,4.1,12,-6.266555299999999,106.774843,"jl. ciputat raya kel no.101, rw.4, pd. pinang, kota jakarta selatan",ChIJS00uRKzxaS4RfR-cjilSvTE,1907.968565261417,Alfamart
alfamart,4.2,20,-6.275189699999999,106.7734774,"7, jl. ciputat raya no.kel, rw.6, pd. pinang, kota jakarta selatan",ChIJV87Df7PxaS4R7l-FQ1i9YTc,2628.197432594005,Alfamart
alfamart,0.0,0,-6.2644372,106.7750567,"jl. ciputat raya no.25a, rt.6/rw.1, pd. pinang, kota jakarta selatan",ChIJNZ_TjKvxaS4RSpGgi-UQMHE,1780.7350246151711,Alfamart
alfamart ciputat raya 5,4.6,262,-6.2644227,106.7750253,"jl. ciputat raya no.23, rw.1, pd. pinang, kota jakarta selatan",ChIJwYPXjKvxaS4RnddDvAVPi-E,1783.270692783905,Alfamart
alfamart,4.1,9,-6.2452254,106.7725276,"jl. peninggaran raya no.kel, rt.8/rw.11, kby. lama utara, kota jakarta selatan",ChIJkUx2wx3xaS4RC4O553KPlfM,2382.269160124183,Alfamart
alfamart ciputat raya 2,4.3,88,-6.275048399999999,106.7735843,"pqff+xcp, rt.7/rw.6, pondok pinang, south jakarta city",ChIJ0-P2f7PxaS4Rcf73HyrOepA,2608.6644267117763,Alfamart
alfamart,4.1,52,-6.2382658,106.7723374,"jl. raya ciledug, rt. 5/4 kel, rt.6/rw.11, cipulir, kota jakarta selatan",ChIJa3p8yiXxaS4RfugjuGiw9us,2925.150781247364,Alfamart
alfamart,0.0,0,-6.252799599999999,106.8268128,"jl. mampang prpt. 16 kel no.5, rt.1/rw.6, tegal parang, kota jakarta selatan",ChIJl_om9KjzaS4RGU8Vxu07GBo,2314.9343839896305,Alfamart
alfamart,4.2,66,-6.2457614,106.8258046,"jl. mampang prpt. raya kel no.58 a, rt.9/rw.3, tegal parang, kota jakarta selatan",ChIJWVXFdyLzaS4R8xNLa-VEm_w,1693.832140980628,Alfamart
alfamart,4.7,11,-6.218932499999999,106.8302356,"jl.hr. rasuna said kav. 3 - 5 kel, rt.6/rw.7, kuningan, setia budi, kota jakarta selatan",ChIJXVCj6unzaS4R3_PYMijRI8o,2721.25267027416,Alfamart
alfamart mampang prapatan xiv,3.0,1,-6.2512721,106.8313689,"prxj+fgx, rt.9/rw.4, tegal parang, south jakarta city",ChIJaXYbbDDzaS4RLIPv_3bV5Yg,2555.1701056409315,Alfamart
alfamart mampang prapatan 2,4.2,180,-6.2433977,106.8291506,"jl. mampang prapatan ii no.19, rt.10/rw.2, mampang prpt., kota jakarta selatan",ChIJv7kzTtvzaS4RPboho4y1LBs,1887.945593907516,Alfamart
alfamart,3.8,39,-6.243284,106.8259296,"jl. mampang prpt. raya kel no.18, rt. 06/03, rt.6/rw.3, mampang prpt., kota jakarta selatan",ChIJ5743TtvzaS4RaNTeZ8xL7Gw,1560.129284014184,Alfamart
alfamart mampang prapatan 2 (kb48),4.0,4,-6.2527525,106.8268743,"jl. warung buncit raya no.5, rt.4/rw.6, tegal parang, kota jakarta selatan",ChIJgePHgdHzaS4RcdWxMOdPfeA,2315.2748108178826,Alfamart
alfamart satrio,4.7,12,-6.2256225,106.8301711,"jl. prof. dr. satrio no.9, rt.7/rw.2, kuningan, kuningan tim., kota jakarta selatan",ChIJRSP9X8HzaS4ROIFGu7jBrKg,2230.734834064996,Alfamart
alfamart tegal parang 2,4.2,343,-6.2472825,106.8318862,"jl. tegal parang sel. no.3, rt.4/rw.2, tegal parang, kota jakarta selatan",ChIJyxel_CHzaS4RK3olku7tsH8,2351.2109005396965,Alfamart
alfamart buncit 12,4.5,13,-6.2527202,106.826871,"jl. mampang prapatan xiii no.12, rt.1/rw.6, tegal parang, kota jakarta selatan",ChIJpQkMoNHzaS4R2HbnZOycUjU,2312.2896149998446,Alfamart
