nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,store,nama_kelurahan,nama_kecamatan,nama_kota,competitor_density_500m,jarak_kompetitor_meter,kompetitor_head_to_head,jarak_pasar_meter,pasar_terdekat,pelanggaran_zonasi,cluster_hdbscan_makro,cluster_hdbscan_prob,cluster_dbscan_hotspot,spatial_risk_score
indomaret plus tebet timur dalam,4.5,255,-6.2403194,106.8557598,"jl. tebet timur raya no.29, rt.1/rw.8, tebet tim., kota jakarta selatan",ChIJWRooDKPzaS4R-oR5GrizSpE,Indomaret,Tebet Timur,Tebet,Kota Jakarta Selatan,6,302.15,0,595.1161855923971,pasar pspt,0,15,1.0,8,0.3735
indomaret,2.3,3,-6.248328,106.8240323,"jl. mampang prapatan vii no.1, rw.3, tegal parang, kota jakarta selatan",ChIJJXUTrNDzaS4RJSFdr933enM,Indomaret,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan,4,346.16,0,766.9016698098086,pasar warung buncit,0,9,0.881024937160995,-1,0.1705
indomaret stasiun tebet,0.0,0,-6.227752,106.8563415,"dalam 3, 4, jl. tebet raya no.69, rt.4/rw.1, tebet tim., kota jakarta selatan",ChIJfS5DnODzaS4RByux-xL7Cy4,Indomaret,Tebet Timur,Tebet,Kota Jakarta Selatan,12,162.02,0,817.5962015849634,pasar pspt,0,22,0.4036141183477619,2,0.4374
indomaret plus,4.0,88,-6.2212663,106.8270455,"jl. karet pedurenan no.68a, rt.9/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJFwAAAPnzaS4RSejras5dRMU,Indomaret,Karet Kuningan,Setiabudi,Kota Jakarta Selatan,5,437.83,0,842.6966496457486,pasar karbela,0,24,0.9199618318185165,11,0.3449
indomaret point,3.3,3,-6.2331067,106.8230684,"patra jasa, jl. gatot subroto, rt.6/rw.3, kuningan, kuningan tim., kota jakarta selatan",ChIJpbNXVUrzaS4Rt_lHfKPzCKM,Indomaret,Kuningan Timur,Setiabudi,Kota Jakarta Selatan,3,333.5,0,1243.8655318797935,pasar santa,0,10,1.0,-1,0.1618
indomaret itc kuningan,0.0,0,-6.2235581,106.8259947,"jl. prof. dr. satrio no.18, rt.11/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJDW3h1JDzaS4R8CQ1sNCxq94,Indomaret,Karet Kuningan,Setiabudi,Kota Jakarta Selatan,3,515.58,0,1089.2461671947262,pasar karbela,0,-1,0.0,11,0.2118
indomaret pedurenan,4.4,99,-6.2222333,106.8261754,"jl. pedurenan masjid iii no.50, rt.8/rw.4, kuningan, karet kuningan, kota jakarta selatan",ChIJjyTKfPnzaS4RmgahJeqJgd8,Indomaret,Karet Kuningan,Setiabudi,Kota Jakarta Selatan,3,579.78,0,942.1839413481543,pasar karbela,0,-1,0.0,11,0.2118
indomaret ciputat raya 2a -b,0.0,0,-6.239546799999999,106.8263501,"jl. kapten tendean no.34, rt.9/rw.2, kuningan bar., kota jakarta selatan",ChIJR3Z58xPzaS4Rv46cCQ_1uvk,Indomaret,Kuningan Barat,Mampang Prapatan,Kota Jakarta Selatan,1,418.15,0,998.9195028024985,pasar ar riyadh,0,-1,0.0,-1,0.0206
indomaret guru mughni,4.1,41,-6.2269641,106.8213717,"jalan guru mughni no. c4, karet semanggi, setiabudi, rt.5/rw.2, karet semanggi, rt.5/rw.2, karet semanggi, kota jakarta selatan",ChIJ4T8PLOPzaS4RQDVcYaC-IGg,Indomaret,Karet Semanggi,Setiabudi,Kota Jakarta Selatan,5,254.5,0,1539.0498357585582,pasar santa,0,10,1.0,-1,0.2029
indomaret karbela,4.0,35,-6.216086199999999,106.8232321,"jl. flamboyan no.1, rt.9/rw.3, kuningan, karet, kota jakarta selatan",ChIJQ7XctwD0aS4RfpVYI5dO7Tk,Indomaret,Karet,Setiabudi,Kota Jakarta Selatan,6,317.78,0,398.70834859673266,pasar karbela,1,24,1.0,-1,0.6235
indomaret dr satrio 289,4.6,13,-6.2177327,106.8196168,"jalan professor doktor satrio no.289, karet kuningan, setiabudi rt.1/rw.1, kuningan, rt.1/rw.1, kuningan, karet kuningan, kota jakarta selatan",ChIJf1IrAD3zaS4RP2uQZVJc8jY,Indomaret,Karet Kuningan,Setiabudi,Kota Jakarta Selatan,5,175.94,0,830.3666410989828,pasar karbela,0,24,0.9162994630025649,12,0.3446
indomaret pondok jaya mampang,4.4,111,-6.2494907,106.8214751,"jl. pondok jaya vi no.6, rt.6/rw.6, pela mampang, kota jakarta selatan",ChIJf2NThW7zaS4RXQqG3ssDz7w,Indomaret,Pela Mampang,Mampang Prapatan,Kota Jakarta Selatan,5,169.81,0,775.664895818867,pasar warung buncit,0,9,0.881024937160995,-1,0.191
indomaret mampang 7,4.1,207,-6.248328099999999,106.824029,"jl. mampang prapatan vii no.30, rt.1/rw.3, tegal parang, kota jakarta selatan",ChIJAxkWrNDzaS4RyfXBmyZF8qA,Indomaret,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan,4,346.38,0,766.98257554103,pasar warung buncit,0,9,0.881024937160995,-1,0.1705
