store,nama_tempat,latitude,longitude,competitor_density_500m,jarak_kompetitor_meter,kompetitor_head_to_head,cluster_hdbscan_prob,is_hotspot,pasar_density_500m,retail_vs_pasar_ratio,pelanggaran_zonasi,jarak_pasar_meter,pasar_terdekat,spatial_risk_score,cluster_dbscan_raw,cluster_hdbscan_makro
Indomaret,indomaret,-6.289838899999999,106.7781069,2,299.91,0,0.0,0,0,2.0,0,1928.7488983081018,pasar mede pd pasar jaya,0.0588,-1,-1
Indomaret,indomaret fatmawati 20,-6.281351099999999,106.7963965,6,155.06,0,1.0,1,0,6.0,0,614.9389497244758,pasar mede pd pasar jaya,0.6765,19,19
Indomaret,indomaret fatmawati 2,-6.268205399999999,106.7970959,10,65.23,0,1.0,1,0,10.0,0,1657.841519821934,pasar cipete selatan,0.7941,18,21
Indomaret,indomaret haji nawi ( tq03 ),-6.2637034,106.7954092,9,368.59,0,0.7310386735947354,0,0,9.0,0,2149.666273974542,pasar cipete selatan,0.4109,-1,21
Indomaret,indomaret rc veteran,-6.2645803,106.7664311,6,65.49,0,1.0,1,0,6.0,0,1779.1744813649104,pasar pesanggrahan,0.6765,24,8
Indomaret,indomaret madrasah,-6.266464999999999,106.7914699,1,180.17,0,0.0,0,0,1.0,0,2261.4893683742785,pasar cipete selatan,0.0294,-1,-1
Indomaret,indomaret ciputat raya ta3p,-6.2585712,106.7773998,1,170.81,0,0.8237706200406218,0,0,1.0,0,2401.127570769308,pasar pesanggrahan,0.1942,-1,8
Indomaret,mitra umkm indomaret,-6.2695104,106.7975699,9,144.4,0,1.0,1,0,9.0,0,1521.8814959445458,pasar cipete selatan,0.7647,18,21
Indomaret,indomaret bdn raya,-6.279392199999999,106.7984418,6,210.52,0,1.0,1,0,6.0,0,891.5441716125597,pasar mede pd pasar jaya,0.6765,19,19
Indomaret,indomaret h. batong,-6.286857899999999,106.7903161,2,81.85,0,0.9190789869039019,0,0,2.0,0,548.9623806501858,pasar mede pd pasar jaya,0.2426,-1,19
Indomaret,indomaret depsos raya,-6.2635979,106.7636982,6,36.91,1,1.0,1,0,6.0,0,1520.893049239131,pasar pesanggrahan,0.6765,24,8
Indomaret,indomaret panglima polim - blok a,-6.2576762,106.7967995,7,266.18,0,0.6351834121826689,1,0,7.0,0,1977.1680708154017,pasar mayestik,0.6329,23,21
Indomaret,indomaret pupan ciputat,-6.2831678,106.7717267,2,22.26,1,0.0,0,0,2.0,0,2634.1220636950493,pasar mede pd pasar jaya,0.0588,-1,-1
Indomaret,rc indomaret veteran 2. f70u,-6.2763063,106.7624003,2,75.28,0,0.0,0,0,2.0,0,2797.6608564428693,pasar pesanggrahan,0.0588,-1,-1
Indomaret,indomaret,-6.26411,106.7988205,10,213.76,0,0.9275450997073971,1,0,10.0,0,1888.346094459713,pasar cipete selatan,0.7796,18,21
Indomaret,indomaret,-6.2962454,106.7892345,3,54.31,0,0.0,0,0,3.0,0,1247.8184622981876,pasar mede pd pasar jaya,0.0882,-1,-1
