latitude,longitude,competitor_density_500m,jarak_kompetitor_meter,kompetitor_head_to_head,zona_kmeans,pelanggaran_zonasi
-6.3322727,106.8204749,0,597.6441918468759,0,0,0
-6.2736879,106.8335799,0,548.1763838486479,0,1,0
-6.236263,106.74756,5,38.51714058438454,1,2,0
-6.228463899999999,106.7470185,6,230.99948675464418,0,2,0
-6.235983099999999,106.7512009,8,99.91095269869805,0,2,0
-6.242818199999999,106.7519549,6,13.802158758436276,1,2,0
-6.2366825,106.7501446,8,217.5737599405974,0,2,0
-6.228802099999999,106.7468449,6,189.86999839301427,0,2,0
-6.226289899999999,106.7402377,2,473.4869126086351,0,2,0
-6.2303346,106.7508204,4,384.54054064566776,0,2,0
-6.2240492,106.7547125,4,389.1066369918954,0,2,1
-6.230582300000001,106.7456635,3,55.8469728923939,0,2,0
-6.2333969,106.7515457,5,190.28151495205145,0,2,0
-6.2431066,106.7485969,4,11.33500560351092,1,2,0
-6.246344,106.7517615,4,61.41217638644577,0,2,0
-6.2683369,106.7576132,3,320.8961916035886,0,2,0
-6.2724123,106.7527205,2,324.2398601176826,0,2,0
-6.3588485,106.8064644,6,387.3389759392453,0,0,0
-6.3566026,106.8093138,8,56.63638440034296,0,0,0
-6.3629815,106.8068578,3,41.57508548471779,1,0,0
-6.3406939,106.8044744,4,62.97537372697704,0,0,0
-6.3517988,106.810539,4,16.885527418543546,1,0,0
-6.3442002,106.8017057,5,310.8263818280078,0,0,0
-6.3589526,106.8065455,6,385.4445244429726,0,0,0
-6.3464005,106.8143894,4,181.0558726858743,0,0,0
-6.3461701,106.8028596,4,241.82722661591453,0,0,1
-6.351852500000001,106.807109,4,367.6875567410442,0,0,0
-6.3581175,106.8118531,6,26.20929711858198,1,0,0
-6.3448961,106.8089498,3,178.70620862453518,0,0,0
-6.350038899999999,106.8016393,3,85.45435814114958,0,0,1
-6.3440661,106.8121865,4,251.52473046784388,0,0,0
-6.3541376,106.8108413,9,83.26898011425023,0,0,0
-6.3407538,106.8045153,4,55.157322549061114,0,0,0
-6.3628912,106.802243,2,19.320491592446164,1,0,0
-6.3523913,106.8185399,2,43.36285579434836,1,0,0
-6.3333248,106.8350508,4,12.845425199428,1,0,1
-6.3451713,106.8294743,3,101.86756020180371,0,0,0
-6.3455694,106.8262261,3,107.73280702555758,0,0,0
-6.3411344,106.8274065,3,23.760970759180516,1,0,0
-6.335050799999999,106.8131039,1,37.894118409689476,1,0,0
-6.3387782,106.8218532,0,648.0058330502061,0,0,0
-6.335074,106.8273801,3,110.0438165184561,0,0,0
-6.3349815,106.8344234,5,186.6940184415742,0,0,1
-6.313039300000001,106.8000683,5,38.56743133809123,1,0,0
-6.3081054,106.7981876,1,43.681415289039045,1,0,0
-6.310845,106.8031917,4,262.68085743945335,0,0,0
-6.2557519,106.790021,4,72.2140094644602,0,2,0
-6.2371779,106.7826854,3,32.84806691605961,1,2,0
-6.2104472,106.8230337,6,5.169272054631611,1,1,1
-6.2105197,106.8242588,6,136.0318666878936,0,1,1
-6.206626099999999,106.8267823,3,289.71313074022316,0,1,0
-6.230163699999999,106.8183432,5,43.114988024915185,1,1,0
