place_id,nama_kelurahan,nama_kecamatan,nama_kota
ChIJUXhI3AzxaS4RwEQ8G0z8fnE,Ulujami,Pesanggrahan,Kota Jakarta Selatan
ChIJxVlcmuXxaS4RuKkkG0FzqEg,Ulujami,Pesanggrahan,Kota Jakarta Selatan
ChIJd_TogY_xaS4Rr4fIDW9btxc,Pesanggrahan,Pesanggrahan,Kota Jakarta Selatan
ChIJd2BjRnf3aS4RNuD_v9JPHBk,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan
ChIJl4LWWzXxaS4R68Ts7gLQtmg,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan
ChIJH1TFaor3aS4RzLaytbCIxOw,Kebon Jeruk,Kebonjeruk,West Jakarta City
ChIJlWLFJcX2aS4R6fFLh-CWsAs,Grogol Utara,Kebayoran Lama,Kota Jakarta Selatan
ChIJAWxzL-f3aS4Rf3DliLnYd0o,Kemanggisan,Palmerah,West Jakarta City
ChIJ19nrzXjxaS4R0lQ2di-0Tl4,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJT3CjyLrxaS4R7JM0n40maFA,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJAcbTg1XwaS4RG9XNozvVjE4,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJfQbLC1TwaS4R2VS9ArUGtyk,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJ6_849HLxaS4RGmSP-2LIumQ,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJi1XDcvTxaS4RTcqRw8n3ytE,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJJ1GSGk7waS4RaM29vu-XutM,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJ6w2CLUnwaS4RyI1aYbJcdTg,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJxRzCGnjxaS4RHQMj-rsrhgg,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJy7Tf1pvxaS4RaY5OqcLjQBI,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJxRVKKDnyaS4RxtZdiPBr3f4,Pejaten Barat,Pasar Minggu,Kota Jakarta Selatan
ChIJAd72qmHzaS4RFQV01cn-_Vg,Kalibata,Pancoran,Kota Jakarta Selatan
ChIJa4P60zDyaS4R4wTgs1-cS5k,Kalibata,Pancoran,Kota Jakarta Selatan
