place_id,nama_kelurahan,nama_kecamatan,nama_kota
ChIJw4Qe95TzaS4R4TukR0p9hZk,Menteng Dalam,Tebet,Kota Jakarta Selatan
ChIJv6HpCt3zaS4R6xwdQSocB24,Kalibata,Pasar Minggu,Kota Jakarta Selatan
ChIJXRviXL7zaS4RE8cUq9rXJQc,Tebet Barat,Tebet,Kota Jakarta Selatan
ChIJpzdhkdPzaS4R8PAP1nFVLYE,Pancoran,Pancoran,Kota Jakarta Selatan
ChIJVaFRO43zaS4R9wZv9oxkGeI,Menteng Dalam,Tebet,Kota Jakarta Selatan
ChIJ7ahV373zaS4Rm9rs7VrGTVg,Tebet Barat,Tebet,Kota Jakarta Selatan
ChIJtX8wqY3zaS4RTpmMPQzAFbg,Menteng Dalam,Tebet,Kota Jakarta Selatan
ChIJxf__P5bzaS4RZ7KfkYohoDc,Tebet Barat,Tebet,Kota Jakarta Selatan
ChIJWXksB5_1aS4RlMiiTQ4dm-I,Papanggo,Tanjung Priok,Kota Jakarta Utara
ChIJk___P4nzaS4RKHnkXKOuy64,Manggarai Selatan,Tebet,Kota Jakarta Selatan
ChIJV4P3VhjzaS4RnuDMhqW9W2w,Menteng Dalam,Tebet,Kota Jakarta Selatan
ChIJV7cl6pDzaS4RnpIsEEg4Wik,Tebet Barat,Tebet,Kota Jakarta Selatan
ChIJuRjcO4zzaS4RUa5WFynptng,Menteng Dalam,Tebet,Kota Jakarta Selatan
ChIJndinnI_zaS4RsBdPM7-_7mo,Bukit Duri,Tebet,Kota Jakarta Selatan
ChIJBxrDu73zaS4R_jKixhfyWEE,Tebet Barat,Tebet,Kota Jakarta Selatan
ChIJqUxFMa_zaS4Rb6WsdUlLWrQ,Pengadegan,Pancoran,Kota Jakarta Selatan
ChIJPRf2ebHzaS4R2AqgbPWyqrI,Pengadegan,Pancoran,Kota Jakarta Selatan
ChIJfS5DnODzaS4RByux-xL7Cy4,Tebet Timur,Tebet,Kota Jakarta Selatan
ChIJn9W6dvPzaS4R-cPh4bkgO1g,Rawajati,Pancoran,Kota Jakarta Selatan
ChIJrevYYKXzaS4RywexQtwJGqY,Cikoko,Pancoran,Kota Jakarta Selatan
ChIJuZeA4KHzaS4RO8kOMnZzjnw,Kebon Baru,Tebet,Kota Jakarta Selatan
ChIJzddog5jzaS4RM7Gl9dS3Gbs,Tebet Timur,Tebet,Kota Jakarta Selatan
ChIJV9gKwXvzaS4RKk1asM_cBr8,Rawajati,Pancoran,Kota Jakarta Selatan
ChIJGYiD7b_zaS4RVrXT4JRudmo,Pengadegan,Pancoran,Kota Jakarta Selatan
ChIJXYGF0a_zaS4RaVDjPs-LMYk,Rawajati,Pancoran,South Jakarta City
ChIJPRc3DE7yaS4Rlzq8SQ7YEfE,Rawajati,Pancoran,Kota Jakarta Selatan
ChIJZbxsMgvzaS4ROsamm2cDWG0,Kampung Melayu,Jatinegara,Kota Jakarta Timur
ChIJZ0DyfMnzaS4RJ9jFt8abwmQ,Pengadegan,Pancoran,Kota Jakarta Selatan
ChIJeYYMX63zaS4RoKELlWfnU9Q,Rawajati,Jakarta Selatan,Kota Jakarta Selatan
ChIJv2LFq1LyaS4RTp3YYUId3jg,Rawajati,Pancoran,Kota Jakarta Selatan
ChIJHQAAwJnzaS4RX1MjemHCBZM,Tebet Timur,Tebet,Kota Jakarta Selatan
ChIJV7ZuexPzaS4Raja2xYYiJ_I,Pengadegan,Pancoran,South Jakarta City
ChIJT9K7ZKnzaS4RYVbkqs38TuU,Pengadegan,Pancoran,Kota Jakarta Selatan
ChIJ95g2h5vzaS4R0qUPfUiXjys,Kebon Baru,Jakarta Selatan,Kota Jakarta Selatan
ChIJkUGyILPzaS4RS2iZ8BGqPkc,Rawajati,Pancoran,South Jakarta City
ChIJE3_-BaPzaS4Rs0YHJv9N4H0,East Tebet,Jakarta Timur,South Jakarta City
ChIJuzWu8LvzaS4Ra3ud2A7lDHo,Pengadegan,Pancoran,South Jakarta City
ChIJ71RBBiPzaS4RzLWpLbPWU80,Tebet Timur,Pancoran,Kota Jakarta Selatan
ChIJzXZzEq3zaS4REp5urTglWeE,Rawajati,Pancoran,Kota Jakarta Selatan
ChIJ63NDeWPzaS4RHVCnhEWtXTU,Manggarai Selatan,Tebet,Kota Jakarta Selatan
ChIJy6qqaoTzaS4RC_J-x2TbxZU,Bukit Duri,Tebet,Kota Jakarta Selatan
ChIJZ32HrG3zaS4RDEdM-8JgtKs,Bidara Cina,Jatinegara,Kota Jakarta Timur
ChIJD391JYPzaS4RQJHI5zLfWfg,Kebon Baru,Tebet,Kota Jakarta Selatan
ChIJWRooDKPzaS4R-oR5GrizSpE,Tebet Timur,Tebet,Kota Jakarta Selatan
ChIJJYdxEkTyaS4RUCWdYxW7wqA,Pejaten Timur,Pasar Minggu,Kota Jakarta Selatan
ChIJiXNZXIjzaS4RjQ-7sFoVCPU,Kalibata,Pancoran,Kota Jakarta Selatan
ChIJz_____DtaS4R2Q5FIFxTxv8,Pasar Minggu,Pasar Minggu,Kota Jakarta Selatan
ChIJ63ebeEDyaS4RkvBsuy-1j3o,Pejaten Barat,Pasar Minggu,Kota Jakarta Selatan
ChIJT51ruQvzaS4R6URisPO0Esg,Bidara Cina,Jatinegara,Kota Jakarta Timur
ChIJseq4IvvzaS4RkFLeN9IEZOk,Bali Mester,Jatinegara,Kota Jakarta Timur
ChIJM_MGcAHzaS4RaWCJ-tf_NBA,Kebon Baru,Tebet,Kota Jakarta Selatan
ChIJn03pAwTzaS4R0bJEXJlngZc,Bukit Duri,Tebet,Kota Jakarta Selatan
ChIJZ4s-S53zaS4Rqs7o2XJV4Lc,Kebon Baru,Tebet,Kota Jakarta Selatan
ChIJ18ZbnBjzaS4RX9R3AMc2iP0,Bukit Duri,Tebet,Kota Jakarta Selatan
ChIJq-_X7gzzaS4RvoAmsWNp4Qk,Kebon Baru,Tebet,Kota Jakarta Selatan
ChIJL-7KwRXyaS4R1KfdS1lXbjA,Jati Padang,Pasar Minggu,Kota Jakarta Selatan
ChIJZYivLIntaS4RYRVV5fqSKRw,Tanjung Barat,Jagakarsa,Kota Jakarta Selatan
ChIJmwb3rhPyaS4R_23xpv2E254,Pasar Minggu,Pasar Minggu,Kota Jakarta Selatan
ChIJKzbH_nbtaS4RPC_zVyqnB5g,Ragunan,Pasar Minggu,Kota Jakarta Selatan
ChIJbbdFCvntaS4RhngjQ_Gl0v0,Kebagusan,Pasar Minggu,Kota Jakarta Selatan
ChIJWdIwMBPzaS4RLbHyiDEEYZ4,Pasar Minggu,Pasar Minggu,Kota Jakarta Selatan
ChIJ9V6Ft6vtaS4RcOu1gslzJIQ,Kebagusan,Pasar Minggu,Kota Jakarta Selatan
ChIJ00ufpmXyaS4RwCJSKBgZeBE,Balekambang,Kramat jati,Kota Jakarta Timur
ChIJgxhagUnzaS4RvD_Z_w12BOo,Rawajati,Pancoran,Kota Jakarta Selatan
ChIJwXhXQUjzaS4RyD2u1bivvgU,Pejaten Barat,Pasar Minggu,Kota Jakarta Selatan
ChIJjV_Ni1rwaS4RQfj-56QgK9w,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJq8HgY0PwaS4R5UY58R60CRk,Bintaro,Pesanggrahan,Kota Jakarta Selatan
ChIJzQet4L7waS4RFeApilyOjfw,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJgQybDsHwaS4R6ga_XdZJ78Q,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJZetr6vrxaS4RsX9Sa2zGjK0,Petukangan Selatan,Pesanggrahan,Kota Jakarta Selatan
ChIJbfGEHcHwaS4RxKnoSu1bIxk,South Petukangan,Pesanggrahan,South Jakarta City
ChIJ8QWqFezwaS4R_5w0mAxs9dU,Petukangan Selatan,Pesanggrahan,Kota Jakarta Selatan
ChIJawlqH-vwaS4ROFHJDR7K8YI,Petukangan Selatan,Pesanggrahan,Kota Jakarta Selatan
ChIJ91a9IMjwaS4RIcKoAkrR_dM,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJG6pO37fwaS4RdYDjCTDUWMc,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJeVMAR7HwaS4R4srJiyc2f4c,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJr5QeJsbwaS4RabTVm0qv1rA,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJr4-HGLjwaS4Ragtsic4Yjus,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJV2qZoMXwaS4RiQyhGgeG1xQ,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJKxJkI8zwaS4RTDk1MNNsXKU,Petukangan Utara,Pesanggrahan,Kota Jakarta Selatan
ChIJVwsQapH1aS4RRn0qO3oi72c,Karet,Setiabudi,Kota Jakarta Selatan
ChIJk___P4nzaS4R-mx5t36xeEE,Manggarai Selatan,Tebet,Kota Jakarta Selatan
ChIJVxLzin71aS4R5ngDmYA-lEM,Pasar Manggis,Setiabudi,Kota Jakarta Selatan
ChIJE27Ce3X0aS4RwPqn75uJU88,Menteng Atas,Setiabudi,Kota Jakarta Selatan
ChIJt6qq6gz0aS4Rc32yPpqE5bc,Pasar Manggis,Setiabudi,Kota Jakarta Selatan
ChIJU8fWq6_1aS4RLiY3lLYzs2o,Guntur,Setiabudi,Kota Jakarta Selatan
ChIJb2LXKQv0aS4RMsA0_7UBZqw,Menteng Atas,Setiabudi,Kota Jakarta Selatan
ChIJt9agVXX0aS4RMX9VQephLU0,Menteng Atas,Setiabudi,Kota Jakarta Selatan
ChIJw___Pw70aS4RWR0PfuJ3EbQ,Menteng Atas,Setiabudi,Kota Jakarta Selatan
ChIJtbBKIBn3aS4RDILdRYO1-O4,Karet Tengsin,Tanah Abang,Central Jakarta City
ChIJS4y29Aj0aS4Rhsigp-JY_H4,Karet,Jakarta Selatan,Kota Jakarta Selatan
ChIJu0w9qAv3aS4RkVPqISVW4q0,Bendungan Hilir,Tanah Abang,Central Jakarta City
ChIJ8wnNTnP0aS4Rt4yRAq93XYE,Pasar Manggis,Setiabudi,Kota Jakarta Selatan
ChIJrVK2lB73aS4RGj_JuWOYF-8,Kebon Melati,Tanah Abang,Kota Jakarta Pusat
ChIJM2gR-Z72aS4RDrZHeKNfLG8,Kebon Melati,Jakarta Pusat,Central Jakarta City
ChIJw3pmkY7zaS4RzEJnuWOCvuI,South Manggarai,Tebet,South Jakarta City
ChIJC_j2enH0aS4RLYqRmKfTNwU,Manggarai,Tebet,Kota Jakarta Selatan
ChIJ4zoAOE7yaS4RTmrqJf3bbYg,Manggarai,Tebet,Kota Jakarta Selatan
ChIJ111irRfzaS4RZQVb6NYgSuU,Tebet Timur,Tebet,Kota Jakarta Selatan
ChIJ_f__P0P0aS4RwCzZ2DPOu0Q,Paseban,Senen,Central Jakarta City
ChIJcSGmzSn1aS4RJUzV3mJzXWw,Paseban,Senen,Kota Jakarta Pusat
ChIJp2zrmwX1aS4ReZAbJY11jeo,Gondangdia,Menteng,Kota Jakarta Pusat
ChIJDwAAcEH0aS4RTkKCY72UjaM,Kenari,Senen,Central Jakarta City
ChIJgQrn1yr1aS4Rq4XC-5vIzzk,Kebon Kacang,Tanah Abang,Kota Jakarta Pusat
ChIJea1bnRv1aS4ROX5JWYT2FVA,Kebon Kacang,Tanah Abang,Kota Jakarta Pusat
ChIJ-___Lzb0aS4R2cT53nG21O0,Kwitang,Senen,Central Jakarta City
ChIJ37a-bqf1aS4Rp7HQzQh8Awc,Pisangan Baru,Matraman,Kota Jakarta Timur
ChIJc3lpisv1aS4RjyY4vbpNYEw,South Utan Kayu,Matraman,East Jakarta City
ChIJ38U6OvX0aS4RDde402dm8fE,North Utan Kayu,Jakarta Barat,East Jakarta City
ChIJK7Zhegn1aS4RxRVe-npfLQ4,Rawasari,Cempaka Putih,Central Jakarta City
ChIJk00KncL1aS4RMVWqUhiNFTE,Rawasari,Cempaka Putih,Kota Jakarta Pusat
